2026-02-26 13:11:13 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 13:17:03 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 13:24:00 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 13:27:38 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 13:27:38 | WARNING | passlib.handlers.bcrypt | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "C:\Users\sitti\Programs\Projects\Renkei\backend\venv\Lib\site-packages\passlib\handlers\bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2026-02-26 13:39:44 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 13:56:18 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 14:50:31 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 14:54:44 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 14:58:26 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 14:58:31 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:03:42 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:05:27 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:08:09 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:08:09 | INFO | __main__ | Initializing database...
2026-02-26 19:08:09 | INFO | __main__ | Creating database tables...
2026-02-26 19:08:09 | INFO | __main__ | Database tables created successfully
2026-02-26 19:08:09 | INFO | __main__ | Checking for default admin user...
2026-02-26 19:14:20 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:14:20 | INFO | __main__ | Initializing database...
2026-02-26 19:14:20 | INFO | __main__ | Creating database tables...
2026-02-26 19:14:20 | INFO | __main__ | Database tables created successfully
2026-02-26 19:14:20 | INFO | __main__ | Checking for default admin user...
2026-02-26 19:14:21 | INFO | __main__ | Default admin user created
2026-02-26 19:14:21 | INFO | __main__ | Database initialization complete
2026-02-26 19:14:27 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:20:56 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:24:25 | INFO | app.db.session | Connecting to database: localhost:5432
2026-02-26 19:24:29 | INFO | app.ml.inference.embedder | Loading embedding model...
2026-02-26 19:24:29 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-02-26 19:24:29 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-02-26 19:24:30 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-02-26 19:24:30 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-02-26 19:24:30 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-02-26 19:24:31 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-02-26 19:24:31 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
